fecha,primer_premio,segundo_premio,reintegros
2026-01-09,45678,12345,3;8
2026-01-04,23456,78901,1;6
2025-12-28,67890,34567,4;9
2025-12-21,89012,56789,2;7
2025-12-14,12345,90123,0;5
2025-12-07,34567,12890,3;8
2025-11-30,56789,45678,1;6
2025-11-23,78901,67890,4;9
2025-11-16,90123,89012,2;7
2025-11-09,23456,01234,0;5
2025-11-02,45678,23567,3;8
2025-10-26,67890,45789,1;6
2025-10-19,89012,67012,4;9
2025-10-12,12345,89234,2;7
2025-10-05,34567,01456,0;5
2025-09-28,56789,23678,3;8
2025-09-21,78901,45890,1;6
2025-09-14,90123,67012,4;9
2025-09-07,23456,89234,2;7
2025-08-31,45678,01456,0;5
2025-08-24,67890,23678,3;8
2025-08-17,89012,45890,1;6
2025-08-10,12345,67012,4;9
2025-08-03,34567,89234,2;7
2025-07-27,56789,01456,0;5
2025-07-20,78901,23678,3;8
2025-07-13,90123,45890,1;6
2025-07-06,23456,67012,4;9
2025-06-29,45678,89234,2;7
2025-06-22,67890,01456,0;5
